variable_name,length,position,question_name,concept,question_text,universe,note,source,answer_categories_json
ITE_10,1.0,504,ITE_Q10,Quit job due to caregiving resp. - Indicator - Past 12 months,"During the past 12 months, did you quit a job because of your caregiving responsibili-
ties?","DV_PROXY = 2 and 1 <= PAR_10 <= 99 and 2 <= HAP_10 <= 168 and (LMAM_01 = 1
or (LMAM_02 = 1 and (LMAM_03 = 1, 2, 3, 4, 5, 6, 7,11, 12, 13,14)) or LPY_01 = 1)",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITE_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""68"", ""weighted_frequency"": ""87219"", ""percent"": ""0.3""}, {""variable_name"": ""ITE_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""3542"", ""weighted_frequency"": ""3812008"", ""percent"": ""12.4""}, {""variable_name"": ""ITE_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16566"", ""weighted_frequency"": ""26760943"", ""percent"": ""87.0""}, {""variable_name"": ""ITE_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""82"", ""weighted_frequency"": ""95015"", ""percent"": ""0.3""}]"
ITE_20,1.0,505,ITE_Q20,Time unemployed after quitting job due to caregiving resp. - Unit,For how long were you unemployed after you quit your job?,ITE_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITE_20"", ""label"": ""Weeks"", ""code"": ""1"", ""frequency"": ""23"", ""weighted_frequency"": ""44211"", ""percent"": ""0.1""}, {""variable_name"": ""ITE_20"", ""label"": ""Months"", ""code"": ""2"", ""frequency"": ""39"", ""weighted_frequency"": ""39228"", ""percent"": ""0.1""}, {""variable_name"": ""ITE_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20190"", ""weighted_frequency"": ""30667966"", ""percent"": ""99.7""}, {""variable_name"": ""ITE_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""6"", ""weighted_frequency"": ""3780"", ""percent"": ""0.0""}]"
ITE_30A,1.0,506,,Circumstances enable work while provide care - Alternative care,"What circumstances would have enabled you to keep working while providing care at
the same time?
- Availability of acceptable alternative care",ITE_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITE_30A"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""26"", ""weighted_frequency"": ""22002"", ""percent"": ""0.1""}, {""variable_name"": ""ITE_30A"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""42"", ""weighted_frequency"": ""65216"", ""percent"": ""0.2""}, {""variable_name"": ""ITE_30A"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20190"", ""weighted_frequency"": ""30667966"", ""percent"": ""99.7""}, {""variable_name"": ""ITE_30A"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30A"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30A"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
ITE_30B,1.0,507,,Circumstances enable work while provide care - Affordable care,"What circumstances would have enabled you to keep working while providing care at
the same time?
- Affordable alternative care",ITE_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITE_30B"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""20"", ""weighted_frequency"": ""17591"", ""percent"": ""0.1""}, {""variable_name"": ""ITE_30B"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""48"", ""weighted_frequency"": ""69628"", ""percent"": ""0.2""}, {""variable_name"": ""ITE_30B"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20190"", ""weighted_frequency"": ""30667966"", ""percent"": ""99.7""}, {""variable_name"": ""ITE_30B"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30B"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30B"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
ITE_30C,1.0,508,,Circumstances enable work while provide care - Flexible work hours,"What circumstances would have enabled you to keep working while providing care at
the same time?
- Ability to work flexible hours",ITE_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITE_30C"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""31"", ""weighted_frequency"": ""47417"", ""percent"": ""0.2""}, {""variable_name"": ""ITE_30C"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""37"", ""weighted_frequency"": ""39801"", ""percent"": ""0.1""}, {""variable_name"": ""ITE_30C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20190"", ""weighted_frequency"": ""30667966"", ""percent"": ""99.7""}, {""variable_name"": ""ITE_30C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
ITE_30D,1.0,509,,Circumstances enable work while provide care - Fewer hours of work,"What circumstances would have enabled you to keep working while providing care at
the same time?
- Ability to work fewer hours",ITE_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITE_30D"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""26"", ""weighted_frequency"": ""17427"", ""percent"": ""0.1""}, {""variable_name"": ""ITE_30D"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""42"", ""weighted_frequency"": ""69792"", ""percent"": ""0.2""}, {""variable_name"": ""ITE_30D"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20190"", ""weighted_frequency"": ""30667966"", ""percent"": ""99.7""}, {""variable_name"": ""ITE_30D"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30D"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30D"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
ITE_30E,1.0,510,,Circumstances enable work while provide care - Help from family,"What circumstances would have enabled you to keep working while providing care at
the same time?
- Help from family",ITE_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITE_30E"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""25"", ""weighted_frequency"": ""15129"", ""percent"": ""0.0""}, {""variable_name"": ""ITE_30E"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""43"", ""weighted_frequency"": ""72089"", ""percent"": ""0.2""}, {""variable_name"": ""ITE_30E"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20190"", ""weighted_frequency"": ""30667966"", ""percent"": ""99.7""}, {""variable_name"": ""ITE_30E"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30E"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITE_30E"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
ITO_10,1.0,511,ITO_Q10,Did not advance career due caregiving resp. - Indicator - Past 12 mos.,"During the past 12 months, did you turn down a job offer or promotion, or decide not to
apply for a job, because of your caregiving responsibilities?","DV_PROXY = 2 and 1 <= PAR_10 <= 99 and 2 <= HAP_10 <= 168 and (LMAM_01 = 1
or (LMAM_02 = 1 and (LMAM_03 = 1, 2, 3, 4, 5, 6, 7,11, 12, 13,14)) or LPY_01 = 1)",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITO_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""442"", ""weighted_frequency"": ""499019"", ""percent"": ""1.6""}, {""variable_name"": ""ITO_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""3244"", ""weighted_frequency"": ""3468687"", ""percent"": ""11.3""}, {""variable_name"": ""ITO_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16475"", ""weighted_frequency"": ""26685096"", ""percent"": ""86.8""}, {""variable_name"": ""ITO_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""97"", ""weighted_frequency"": ""102382"", ""percent"": ""0.3""}]"
ITO_20,1.0,512,ITO_Q20,Less demanding job due caregiving responsibilities - Indicator,Did you take a less demanding job because of your caregiving responsibilities?,"DV_PROXY = 2 and 1 <= PAR_10 <= 99 and 2 <= HAP_10 <= 168 and (LMAM_01 = 1
or (LMAM_02 = 1 and (LMAM_03 = 1, 2, 3, 4, 5, 6, 7,11, 12, 13,14)) or LPY_01 = 1)",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITO_20"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""357"", ""weighted_frequency"": ""427005"", ""percent"": ""1.4""}, {""variable_name"": ""ITO_20"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""3334"", ""weighted_frequency"": ""3544621"", ""percent"": ""11.5""}, {""variable_name"": ""ITO_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16475"", ""weighted_frequency"": ""26685096"", ""percent"": ""86.8""}, {""variable_name"": ""ITO_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""92"", ""weighted_frequency"": ""98462"", ""percent"": ""0.3""}]"
ITO_25,1.0,513,ITO_Q25,Less demanding job - Pay less or more than previous job,Did this less demanding job pay less or more than your previous job?,ITO_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITO_25"", ""label"": ""Paid less"", ""code"": ""1"", ""frequency"": ""217"", ""weighted_frequency"": ""270399"", ""percent"": ""0.9""}, {""variable_name"": ""ITO_25"", ""label"": ""Paid more"", ""code"": ""2"", ""frequency"": ""31"", ""weighted_frequency"": ""29253"", ""percent"": ""0.1""}, {""variable_name"": ""ITO_25"", ""label"": ""Paid the same"", ""code"": ""3"", ""frequency"": ""106"", ""weighted_frequency"": ""125337"", ""percent"": ""0.4""}, {""variable_name"": ""ITO_25"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""19901"", ""weighted_frequency"": ""30328180"", ""percent"": ""98.6""}, {""variable_name"": ""ITO_25"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_25"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_25"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""3"", ""weighted_frequency"": ""2016"", ""percent"": ""0.0""}]"
ITO_26,1.0,514,ITO_Q26,Less demanding job - Fewer or more benefits than previous job,Did this less demanding job provide fewer or more benefits than your previous job?,ITO_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ITO_26"", ""label"": ""Fewer benefits"", ""code"": ""1"", ""frequency"": ""148"", ""weighted_frequency"": ""183312"", ""percent"": ""0.6""}, {""variable_name"": ""ITO_26"", ""label"": ""More benefits"", ""code"": ""2"", ""frequency"": ""46"", ""weighted_frequency"": ""59788"", ""percent"": ""0.2""}, {""variable_name"": ""ITO_26"", ""label"": ""Same benefits"", ""code"": ""3"", ""frequency"": ""154"", ""weighted_frequency"": ""173497"", ""percent"": ""0.6""}, {""variable_name"": ""ITO_26"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""19901"", ""weighted_frequency"": ""30328180"", ""percent"": ""98.6""}, {""variable_name"": ""ITO_26"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_26"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ITO_26"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""9"", ""weighted_frequency"": ""10409"", ""percent"": ""0.0""}]"
INE_10,1.0,515,INE_Q10,Caregiving responsibilities prevented respondent from working,Have your caregiving responsibilities prevented you from working at a paid job?,"DV_PROXY = 2 and 1 <= PAR_10 <= 99 and 2 <= HAP_10 <= 168 and (LMAM_01 NE
1 and (LMAM_02 NE 1 or (LMAM_03 NE 1, 2, 3, 4, 5, 6, 7,11, 12, 13,14)) and LPY_01
NE 1)",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""205"", ""weighted_frequency"": ""237670"", ""percent"": ""0.8""}, {""variable_name"": ""INE_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""1849"", ""weighted_frequency"": ""1557342"", ""percent"": ""5.1""}, {""variable_name"": ""INE_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""18177"", ""weighted_frequency"": ""28936092"", ""percent"": ""94.1""}, {""variable_name"": ""INE_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""27"", ""weighted_frequency"": ""24081"", ""percent"": ""0.1""}]"
INE_20,1.0,516,INE_Q20,Respondent interest in employment,Are you interested in finding paid employment?,INE_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_20"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""93"", ""weighted_frequency"": ""120668"", ""percent"": ""0.4""}, {""variable_name"": ""INE_20"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""112"", ""weighted_frequency"": ""117002"", ""percent"": ""0.4""}, {""variable_name"": ""INE_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20053"", ""weighted_frequency"": ""30517515"", ""percent"": ""99.2""}, {""variable_name"": ""INE_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
INE_30,1.0,517,INE_Q30,Full or part-time employment - Preference,Would you like a full or part-time job?,INE_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_30"", ""label"": ""Full-time"", ""code"": ""1"", ""frequency"": ""28"", ""weighted_frequency"": ""37822"", ""percent"": ""0.1""}, {""variable_name"": ""INE_30"", ""label"": ""Part-time"", ""code"": ""2"", ""frequency"": ""64"", ""weighted_frequency"": ""82756"", ""percent"": ""0.3""}, {""variable_name"": ""INE_30"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20165"", ""weighted_frequency"": ""30634516"", ""percent"": ""99.6""}, {""variable_name"": ""INE_30"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_30"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_30"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""1"", ""weighted_frequency"": ""91"", ""percent"": ""0.0""}]"
INE_41A,1.0,518,,Facilitators of employment - Ability to work from home,"What would enable you to work at a paid job?
- Ability to work from home",INE_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_41A"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""50"", ""weighted_frequency"": ""70542"", ""percent"": ""0.2""}, {""variable_name"": ""INE_41A"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""43"", ""weighted_frequency"": ""50127"", ""percent"": ""0.2""}, {""variable_name"": ""INE_41A"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20165"", ""weighted_frequency"": ""30634516"", ""percent"": ""99.6""}, {""variable_name"": ""INE_41A"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41A"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41A"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
INE_41B,1.0,519,,Facilitators of employment - Flexible hours,"What would enable you to work at a paid job?
- Flexible hours",INE_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_41B"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""73"", ""weighted_frequency"": ""96472"", ""percent"": ""0.3""}, {""variable_name"": ""INE_41B"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""20"", ""weighted_frequency"": ""24196"", ""percent"": ""0.1""}, {""variable_name"": ""INE_41B"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20165"", ""weighted_frequency"": ""30634516"", ""percent"": ""99.6""}, {""variable_name"": ""INE_41B"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41B"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41B"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
INE_41C,1.0,520,,Facilitators of employment - Affordable care,"What would enable you to work at a paid job?
- Affordable care",INE_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_41C"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""31"", ""weighted_frequency"": ""42583"", ""percent"": ""0.1""}, {""variable_name"": ""INE_41C"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""62"", ""weighted_frequency"": ""78085"", ""percent"": ""0.3""}, {""variable_name"": ""INE_41C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20165"", ""weighted_frequency"": ""30634516"", ""percent"": ""99.6""}, {""variable_name"": ""INE_41C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
INE_41D,1.0,521,,Facilitators of employment - Possibility of working fewer hours,"What would enable you to work at a paid job?
- Possibility of working fewer hours
Facilitators of employment: Working fewer hours",INE_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_41D"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""38"", ""weighted_frequency"": ""59190"", ""percent"": ""0.2""}, {""variable_name"": ""INE_41D"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""55"", ""weighted_frequency"": ""61478"", ""percent"": ""0.2""}, {""variable_name"": ""INE_41D"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20165"", ""weighted_frequency"": ""30634516"", ""percent"": ""99.6""}, {""variable_name"": ""INE_41D"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41D"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41D"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
INE_41E,1.0,522,,Facilitators of employment - Better public transport,"What would enable you to work at a paid job?
- Better public transportation",INE_20 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""INE_41E"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""15"", ""weighted_frequency"": ""16100"", ""percent"": ""0.1""}, {""variable_name"": ""INE_41E"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""78"", ""weighted_frequency"": ""104568"", ""percent"": ""0.3""}, {""variable_name"": ""INE_41E"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""20165"", ""weighted_frequency"": ""30634516"", ""percent"": ""99.6""}, {""variable_name"": ""INE_41E"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41E"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""INE_41E"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
IPL_05,1.0,523,IPL_Q05,Worked while providing care - Indicator - Prior to past 12 months,"Excluding the past 12 months, have you ever worked at a paid job while providing care?","DV_PROXY = 2 and ((PRS_10 = RESPONSE and PRS_10 < 2018) or (PRS_20 =
RESPONSE and PRS_20 < AGE) or CGH_100 = 1 or CGH_110 = 1) and (LMAM_01
= 1 or (LMAM_02 = 1 and (LMAM_03 = 1, 2, 3, 4, 5, 6, 7,11, 12, 13,14)) or LPY_01 = 1)",,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""IPL_05"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""3906"", ""weighted_frequency"": ""4083668"", ""percent"": ""13.3""}, {""variable_name"": ""IPL_05"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""4815"", ""weighted_frequency"": ""5473251"", ""percent"": ""17.8""}, {""variable_name"": ""IPL_05"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""11416"", ""weighted_frequency"": ""21067417"", ""percent"": ""68.5""}, {""variable_name"": ""IPL_05"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""IPL_05"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""IPL_05"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""121"", ""weighted_frequency"": ""130848"", ""percent"": ""0.4""}]"
IPL_10,1.0,524,IPL_Q10,Reduced work hours due to caregiving prior the past year - Indicator,"Excluding the past 12 months, did you ever reduce your regular weekly hours of em-
ployment because of your caregiving responsibilities?",IPL_05 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""IPL_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""1033"", ""weighted_frequency"": ""1047194"", ""percent"": ""3.4""}, {""variable_name"": ""IPL_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""2859"", ""weighted_frequency"": ""3025408"", ""percent"": ""9.8""}, {""variable_name"": ""IPL_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16352"", ""weighted_frequency"": ""26671517"", ""percent"": ""86.7""}, {""variable_name"": ""IPL_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""IPL_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""IPL_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""14"", ""weighted_frequency"": ""11066"", ""percent"": ""0.0""}]"
